Key,Français,Breton,English,German,Portuguese,Italian,Spanish
POLISSAGE_DE_COUILLES,Polissage de couilles,Luskañ dre vell,Nuts Polishing,Kugelpolieren,Polimento de bola,Lucidatura delle sfere,Pulido de bolas
RYAN,Ryan,Ryan,Ryan,Ryan,Ryan,Ryan,ryan
RAPH,Raphael,Raphael,Raphael,Raphael,Rafael,Raffaello,Rafael
TEDDY,Teddy,Teddy,Teddy,Teddy,pelúcia,orsacchiotto,osito de peluche
SULI,Sulivan,Sulivan,Sulivan,Sulivan,Sulivan,Sulivan,Suliván
ANTOINE,Antoine,Anthony,Antoine,Antonius,Antônio,Antonio,Antonio
TRANSLATED_SAUCISSE,Saucisse,Silzig,Sausage,Wurst,Salsicha,Salsiccia,Embutido
TRANSLATED_AZEL,Azel,Azel,Azel,Azel,Azel,Azel,azel
TRANSLATED_DENEZ,Denez,Denez,Denez,Denez,Denez,Denez,Denez
TRANSLATED_DRUSTAN,Drustan,Drustan,Drustan,Drustan,Drustan,Drustan,Drustán
TRANSLATED_ELOUAN,Elouan,Elouan,Elouan,Elouan,Elouan,Elouan,Elouán
TRANSLATED_IAZDA,Iazda,Iazda,Iazda,Iazda,Iazda,Iazda,Iazda
TRANSLATED_MILLIE,Millie,Millie,Millie,Millie,Milie,Millie,mili
TRANSLATED_NEVENA,Nevena,Nevena,Nevena,Nevena,Nevena,Nevena,Névena
TRANSLATED_RIAGAD,Riagad,Riagad,Riagad,Riagad,Riagad,Riagad,Riagad
TRANSLATED_ROZENN,Rozenn,Rozenn,Rozenn,Rozenn,Rozenn,Rozenn,Rozenn
TRANSLATED_SCHUCHTERNE,Schuchterne,Schuchterne,Schuchterne,Schuchterne,Schuchterne,Schuchterne,Schuchterne
TRANSLATED_VASAT,Vasat,Vasat,Vasat,Vasat,Vasat,Vasat,Vasat
UI_BUTTON_SKIP,Passer,Dilezel,Pass,Passieren,Passar,Passaggio,Aprobar
UI_BUTTON_EXIT,Fermer,Serriñ,Close,Schließen,Fechar,Vicino,Cerca
UI_BUTTON_RETURN,Retour,Kein,Back,Zurück,Voltar,Indietro,Atrás
UI_BUTTON_PLAY,Jouer,Choari,Play,Spielen,Jogar,Giocare,Jugar
UI_BUTTON_CONTINUE,Continuer,Kenderc'hel,Continue,Weitermachen,Continuar,Continuare,Continuar
UI_BUTTON_QUIT,Quitter,Evit mont kuit,To leave,Gehen,Para sair,Andarsene,dejar
UI_BUTTON_OPTION,Option,Dibarzh,Option,Option,Opção,Opzione,Opción
UI_TITLE_PAUSE,[f]Pause,[f]Terriñ,[f]Pause,[f]Pause,[f]Pausa,[f]Pausa,[f]Pausa
UI_TITLE_OPTION,Option,Dibarzh,Option,Option,Opção,Opzione,Opción
UI_TITLE_KEY,Touche,Alc'hwezioù,Touch,Berühren,Tocar,Tocco,Tocar
UI_BUTTON_KEY,Changer les touches,Cheñch alc'hwezioù,Change keys,Schlüssel ändern,Alterar chaves,Cambiare chiavi,Cambiar claves
UI_TITLE_GRAPHICS,Graphisme,Grafikoù,Graphics,Grafik,Gráficos,Grafica,Gráficos
UI_TITLE_GRAPHICS_FULLSCREEN,Plein écran,Skramm a-bezh,Full screen,Vollbild,Tela cheia,A schermo intero,Pantalla completa
UI_TITLE_GRAPHICS_RESOLUTION,Résolution,Mennad,Resolution,Auflösung,Resolução,Risoluzione,Resolución
UI_TITLE_GRAPHICS_QUALITY,Qualité,Kalite,Quality,Qualität,Qualidade,Qualità,Calidad
UI_TITLE_LANGUAGE,Langue,Yezh,Language,Sprache,Linguagem,Lingua,Idioma
UI_TITLE_AUDIO,Audio,Klevet,Audio,Audio,Áudio,Audio,Audio
UI_TITLE_AUDIO_MUSIC,Musique,Sonerezh,Music,Musik,Música,Musica,Música
UI_TITLE_AUDIO_VOICE,Voix,Mouezh,Voice,Stimme,Voz,Voce,Voz
